game_pk,away_runs_through5,home_runs_through5,home_leading_after5,tied_after5
634642,1,2,1,0
634645,0,3,1,0
634627,0,0,0,1
634638,3,2,0,0
634634,4,2,0,0
634622,0,2,1,0
634615,2,4,1,0
634618,7,6,0,0
634630,8,10,1,0
634636,11,6,0,0
634652,0,0,0,1
634647,5,1,0,0
634655,3,2,0,0
634640,1,0,0,0
634625,5,0,0,0
634602,0,0,0,1
634653,8,0,0,0
634631,7,6,0,0
634605,5,2,0,0
634576,0,3,1,0
634578,1,3,1,0
634644,2,3,1,0
634573,1,2,1,0
634577,3,2,0,0
634604,4,3,0,0
634643,1,3,1,0
634580,0,3,1,0
634620,0,4,1,0
634629,5,1,0,0
634654,2,8,1,0
634596,6,6,0,1
634575,0,0,0,1
634633,0,2,1,0
634623,0,5,1,0
634646,2,2,0,1
634639,0,3,1,0
634556,9,3,0,0
634607,3,1,0,0
634617,0,1,1,0
634560,1,4,1,0
634610,10,2,0,0
634611,1,3,1,0
634593,6,0,0,0
634597,2,1,0,0
634613,0,3,1,0
634557,3,0,0,0
634651,5,2,0,0
634572,3,0,0,0
634637,3,4,1,0
634588,11,1,0,0
634595,0,0,0,1
634612,4,1,0,0
634616,2,0,0,0
634587,0,6,1,0
634558,2,2,0,1
634562,4,1,0,0
634606,2,0,0,0
634601,0,5,1,0
634566,0,4,1,0
634552,4,3,0,0
634600,7,0,0,0
634551,6,0,0,0
634591,2,1,0,0
634603,1,3,1,0
634624,4,4,0,1
634586,2,2,0,1
634599,0,3,1,0
634530,0,12,1,0
634594,0,2,1,0
634608,2,1,0,0
634590,2,1,0,0
634559,4,0,0,0
634635,1,5,1,0
634619,1,3,1,0
634628,4,1,0,0
634529,1,1,0,1
634609,5,3,0,0
634527,6,5,0,0
634570,0,8,1,0
634589,1,0,0,0
634598,1,2,1,0
634641,1,9,1,0
634583,0,2,1,0
634549,0,0,0,1
634567,1,1,0,1
634626,1,7,1,0
634563,2,1,0,0
634585,0,0,0,1
634592,3,1,0,0
634539,2,1,0,0
634542,0,5,1,0
634584,0,1,1,0
634555,1,2,1,0
634544,2,3,1,0
634564,0,4,1,0
634550,1,7,1,0
634565,0,4,1,0
634568,1,0,0,0
634545,4,3,0,0
634546,0,2,1,0
634499,4,9,1,0
634533,0,0,0,1
634494,0,0,0,1
634512,7,0,0,0
634505,0,3,1,0
634534,1,3,1,0
634478,3,0,0,0
634537,1,1,0,1
634540,4,0,0,0
632201,1,0,0,0
632217,0,4,1,0
632205,2,2,0,1
634656,5,2,0,0
632222,3,0,0,0
632169,3,1,0,0
632202,4,0,0,0
632218,0,6,1,0
632195,1,7,1,0
632193,3,4,1,0
634491,2,2,0,1
632227,1,14,1,0
634524,3,3,0,1
634484,2,6,1,0
632191,1,6,1,0
632200,9,1,0,0
632225,1,5,1,0
632208,4,3,0,0
632192,3,1,0,0
632228,1,2,1,0
632232,3,4,1,0
632170,1,1,0,1
632215,0,6,1,0
632196,7,1,0,0
632233,1,0,0,0
632188,0,2,1,0
632209,0,7,1,0
632214,0,1,1,0
632207,5,5,0,1
632223,6,1,0,0
632198,1,1,0,1
632224,4,6,1,0
632203,2,1,0,0
632204,0,0,0,1
632226,0,3,1,0
632219,1,2,1,0
632221,1,0,0,0
632230,1,1,0,1
632197,4,0,0,0
632216,2,3,1,0
632220,6,0,0,0
632231,6,2,0,0
634648,2,0,0,0
632190,2,2,0,1
632206,1,5,1,0
632213,3,2,0,0
632189,1,2,1,0
634535,4,7,1,0
634569,0,6,1,0
634489,5,2,0,0
632211,8,6,0,0
632194,1,2,1,0
634502,1,14,1,0
632199,0,0,0,1
632210,1,3,1,0
632229,7,1,0,0
634510,5,4,0,0
632212,0,6,1,0
634513,4,3,0,0
634541,4,0,0,0
634553,0,3,1,0
634495,0,2,1,0
634574,3,2,0,0
634582,0,2,1,0
634523,0,2,1,0
634472,2,1,0,0
634496,1,0,0,0
634521,6,2,0,0
634528,1,2,1,0
634581,5,3,0,0
634516,0,8,1,0
634614,2,3,1,0
634515,0,0,0,1
634579,3,2,0,0
634571,2,2,0,1
634621,7,3,0,0
634554,0,2,1,0
634501,0,1,1,0
634481,10,4,0,0
634522,4,3,0,0
634475,0,7,1,0
634632,1,3,1,0
634547,2,3,1,0
634548,4,2,0,0
634464,6,0,0,0
634469,0,0,0,1
634474,0,6,1,0
634482,1,9,1,0
634518,4,1,0,0
634519,1,1,0,1
634463,5,2,0,0
634483,4,1,0,0
634520,2,2,0,1
634561,2,7,1,0
634526,0,2,1,0
634525,0,2,1,0
634517,3,0,0,0
634531,1,2,1,0
634500,3,1,0,0
634507,1,4,1,0
634477,3,0,0,0
634462,0,11,1,0
634470,9,4,0,0
634471,2,2,0,1
634479,0,5,1,0
634460,2,1,0,0
634485,1,3,1,0
634450,0,1,1,0
634543,0,1,1,0
634473,1,7,1,0
634449,1,0,0,0
634465,1,7,1,0
634447,1,0,0,0
634458,2,2,0,1
634493,2,1,0,0
634498,0,2,1,0
634425,1,0,0,0
634487,4,2,0,0
634532,3,1,0,0
634442,0,0,0,1
634455,3,3,0,1
634511,0,0,0,1
634468,2,0,0,0
634441,5,3,0,0
634480,0,1,1,0
634488,2,1,0,0
634538,2,5,1,0
634506,7,3,0,0
634445,3,10,1,0
634431,11,2,0,0
634457,2,0,0,0
634396,2,0,0,0
634536,1,0,0,0
634466,0,1,1,0
634399,2,1,0,0
634421,2,4,1,0
634417,1,0,0,0
634397,3,2,0,0
634490,0,7,1,0
634422,1,1,0,1
634390,3,2,0,0
634408,3,2,0,0
634427,6,3,0,0
634439,3,6,1,0
634509,0,0,0,1
634409,1,4,1,0
634411,1,3,1,0
634407,7,5,0,0
634406,0,0,0,1
634398,0,2,1,0
634392,5,0,0,0
634428,1,3,1,0
634497,0,3,1,0
634424,2,4,1,0
634440,7,7,0,1
634405,0,1,1,0
634430,1,3,1,0
634476,1,2,1,0
634452,1,3,1,0
634504,2,0,0,0
634423,1,4,1,0
634444,0,3,1,0
634459,4,2,0,0
634453,4,10,1,0
634446,5,3,0,0
634514,2,1,0,0
634492,2,2,0,1
634436,3,3,0,1
634508,0,2,1,0
634419,2,3,1,0
634438,0,8,1,0
634432,0,3,1,0
634420,1,0,0,0
634426,0,11,1,0
634389,3,0,0,0
634386,2,5,1,0
634412,6,2,0,0
634413,4,3,0,0
634429,0,3,1,0
634437,5,3,0,0
634415,2,4,1,0
634383,2,0,0,0
634434,0,2,1,0
634435,5,6,1,0
634378,0,5,1,0
634401,2,2,0,1
634369,1,2,1,0
634370,3,1,0,0
634373,5,0,0,0
634375,2,1,0,0
634467,5,1,0,0
634395,0,1,1,0
634416,2,2,0,1
634443,7,1,0,0
634366,2,13,1,0
634358,3,1,0,0
634486,2,1,0,0
634367,7,2,0,0
634384,0,0,0,1
634380,6,0,0,0
634418,4,4,0,1
634503,0,1,1,0
634361,2,2,0,1
634454,1,3,1,0
634344,0,4,1,0
634355,3,5,1,0
634372,3,5,1,0
634376,1,0,0,0
634448,1,0,0,0
634404,5,0,0,0
634349,2,1,0,0
634393,1,8,1,0
634403,2,0,0,0
634456,0,4,1,0
634400,1,0,0,0
634388,2,9,1,0
634342,0,4,1,0
634356,1,2,1,0
634451,3,2,0,0
634394,2,0,0,0
634433,0,2,1,0
634343,2,1,0,0
634402,5,8,1,0
634461,1,0,0,0
634345,0,0,0,1
634377,7,4,0,0
634382,1,5,1,0
634374,0,10,1,0
634363,3,1,0,0
634339,3,3,0,1
634331,1,1,0,1
634387,4,1,0,0
634335,3,7,1,0
634368,1,1,0,1
634410,1,1,0,1
634351,0,2,1,0
634320,3,4,1,0
634318,2,3,1,0
634359,1,5,1,0
634332,1,2,1,0
634333,0,2,1,0
634364,0,2,1,0
634354,2,3,1,0
634379,3,3,0,1
634371,8,2,0,0
634317,6,2,0,0
634365,0,2,1,0
634315,6,5,0,0
634310,1,0,0,0
634362,6,0,0,0
634348,8,1,0,0
634308,0,2,1,0
634414,0,8,1,0
634314,3,3,0,1
634350,4,3,0,0
634357,0,11,1,0
634360,5,2,0,0
634322,6,2,0,0
634309,0,4,1,0
634300,2,1,0,0
634296,2,2,0,1
634352,1,3,1,0
634353,1,0,0,0
634330,1,3,1,0
634347,6,1,0,0
634346,0,2,1,0
634289,0,1,1,0
634385,3,3,0,1
634325,3,1,0,0
634274,0,0,0,1
634327,0,10,1,0
634336,0,2,1,0
634275,5,0,0,0
634305,2,7,1,0
634280,0,7,1,0
634337,6,1,0,0
634288,4,3,0,0
634290,1,2,1,0
634391,1,5,1,0
634328,1,5,1,0
634381,3,1,0,0
634287,3,4,1,0
634303,1,1,0,1
634295,1,2,1,0
634304,0,7,1,0
634329,9,0,0,0
634326,3,7,1,0
634319,6,0,0,0
634273,2,2,0,1
634307,3,0,0,0
634276,4,2,0,0
634284,5,3,0,0
634271,5,4,0,0
634338,2,2,0,1
634312,5,2,0,0
634286,4,3,0,0
634316,2,3,1,0
634272,10,1,0,0
634259,0,3,1,0
634260,3,0,0,0
634311,0,2,1,0
634256,2,4,1,0
634298,5,6,1,0
634323,3,3,0,1
634282,11,1,0,0
634302,2,0,0,0
634341,4,7,1,0
634268,2,1,0,0
634306,4,4,0,1
634299,2,4,1,0
634301,6,1,0,0
634340,0,2,1,0
634257,1,1,0,1
634244,1,4,1,0
634264,0,6,1,0
634285,0,2,1,0
634292,5,6,1,0
634258,3,3,0,1
634254,4,2,0,0
634334,5,0,0,0
634293,3,5,1,0
634242,0,1,1,0
634243,0,0,0,1
634246,10,4,0,0
634245,1,3,1,0
634251,8,0,0,0
634269,3,3,0,1
634297,1,0,0,0
634324,1,6,1,0
634241,3,9,1,0
634229,1,3,1,0
634321,0,1,1,0
634239,6,1,0,0
634277,0,3,1,0
634267,2,0,0,0
634278,0,4,1,0
634265,1,1,0,1
634313,1,0,0,0
634270,0,0,0,1
634225,2,6,1,0
634220,2,0,0,0
634250,1,4,1,0
634249,0,6,1,0
634217,3,3,0,1
634266,5,1,0,0
634294,4,5,1,0
634228,1,1,0,1
634230,2,2,0,1
634279,1,1,0,1
634226,0,4,1,0
634227,0,2,1,0
634281,0,1,1,0
634248,2,2,0,1
634224,1,3,1,0
634283,0,0,0,1
634255,6,5,0,0
634261,2,3,1,0
634223,2,1,0,0
634233,2,0,0,0
634231,5,4,0,0
634232,3,1,0,0
634291,1,1,0,1
634247,0,3,1,0
634216,0,3,1,0
634209,4,1,0,0
634234,3,2,0,0
634195,1,6,1,0
634203,0,0,0,1
634204,2,0,0,0
634252,4,1,0,0
634219,7,2,0,0
634201,2,5,1,0
634253,4,4,0,1
634235,1,0,0,0
634200,0,5,1,0
634213,1,5,1,0
634263,0,0,0,1
634240,0,4,1,0
634221,1,1,0,1
634165,5,9,1,0
634212,2,2,0,1
634178,1,4,1,0
634236,0,3,1,0
634214,2,2,0,1
634187,1,6,1,0
634215,5,1,0,0
634171,5,4,0,0
634196,9,2,0,0
634190,0,3,1,0
634193,5,3,0,0
634197,8,0,0,0
634199,3,0,0,0
634262,13,0,0,0
634177,1,2,1,0
634218,0,1,1,0
634173,2,8,1,0
634184,1,2,1,0
634207,1,0,0,0
634222,0,1,1,0
634167,5,1,0,0
634192,4,7,1,0
634194,0,2,1,0
634237,6,2,0,0
634182,2,7,1,0
634185,5,0,0,0
634205,1,2,1,0
634211,3,3,0,1
634175,1,5,1,0
634152,7,1,0,0
634176,1,1,0,1
634181,1,4,1,0
634155,1,2,1,0
634157,0,5,1,0
634153,1,1,0,1
634164,1,2,1,0
634189,2,3,1,0
634174,1,4,1,0
634144,3,0,0,0
634169,2,1,0,0
634170,0,0,0,1
634179,0,7,1,0
634202,1,1,0,1
634163,0,2,1,0
634159,0,0,0,1
634147,3,3,0,1
634156,0,1,1,0
634149,2,1,0,0
634180,0,6,1,0
634142,3,1,0,0
634128,0,7,1,0
634137,1,1,0,1
634129,0,0,0,1
634208,1,1,0,1
634151,1,0,0,0
634154,3,1,0,0
634186,2,4,1,0
634210,0,0,0,1
634238,0,1,1,0
634198,0,0,0,1
634160,3,12,1,0
634172,0,3,1,0
634183,3,2,0,0
634140,1,6,1,0
634114,3,2,0,0
634103,1,4,1,0
634117,1,4,1,0
634158,1,0,0,0
634125,1,2,1,0
634113,3,0,0,0
634126,0,4,1,0
634150,0,7,1,0
634141,3,3,0,1
634191,0,9,1,0
634136,1,1,0,1
634135,4,0,0,0
634108,0,0,0,1
634146,2,4,1,0
634093,2,0,0,0
634138,0,2,1,0
634206,4,0,0,0
634119,0,0,0,1
634118,4,1,0,0
634123,2,10,1,0
634131,3,0,0,0
634166,1,3,1,0
634121,2,8,1,0
634162,11,0,0,0
634110,1,3,1,0
634132,1,3,1,0
634145,5,8,1,0
634105,4,6,1,0
634080,4,1,0,0
634095,0,7,1,0
634111,7,6,0,0
634085,4,2,0,0
634104,5,0,0,0
634106,4,0,0,0
634127,4,1,0,0
634161,1,4,1,0
634139,0,3,1,0
634097,2,8,1,0
634148,2,2,0,1
634143,1,6,1,0
634084,0,5,1,0
634096,0,4,1,0
634086,5,6,1,0
634094,1,1,0,1
634069,3,8,1,0
634071,0,4,1,0
634083,2,0,0,0
634100,4,5,1,0
634068,0,2,1,0
634124,1,2,1,0
634134,0,5,1,0
634188,5,4,0,0
634098,1,6,1,0
634087,0,3,1,0
634122,3,2,0,0
634130,0,0,0,1
634090,2,4,1,0
634070,4,0,0,0
634063,0,0,0,1
634076,3,4,1,0
634077,10,1,0,0
634099,1,4,1,0
634101,2,6,1,0
634057,0,5,1,0
634082,3,0,0,0
634091,0,2,1,0
634058,3,1,0,0
634051,1,0,0,0
634075,10,4,0,0
634107,2,1,0,0
634133,0,5,1,0
634052,2,3,1,0
634073,4,1,0,0
634109,0,5,1,0
634067,5,4,0,0
634043,0,0,0,1
634102,5,4,0,0
634050,3,2,0,0
634065,1,1,0,1
634092,1,3,1,0
634115,2,0,0,0
634030,1,1,0,1
634031,0,1,1,0
634061,1,0,0,0
634044,1,0,0,0
634055,3,6,1,0
634066,1,3,1,0
634116,6,1,0,0
634053,4,2,0,0
634026,2,8,1,0
634168,0,0,0,1
634029,2,2,0,1
634037,2,2,0,1
634034,2,1,0,0
634033,2,1,0,0
634046,5,2,0,0
634020,14,1,0,0
634120,4,1,0,0
634047,0,0,0,1
634112,2,5,1,0
634045,5,2,0,0
634039,3,0,0,0
634041,2,3,1,0
634018,5,5,0,1
634059,0,2,1,0
634012,0,2,1,0
634014,0,0,0,1
634054,5,2,0,0
634015,10,0,0,0
634027,1,6,1,0
634089,3,1,0,0
634036,0,9,1,0
634078,3,5,1,0
634008,1,4,1,0
634088,3,2,0,0
634022,2,1,0,0
634016,0,6,1,0
634028,1,1,0,1
634013,2,0,0,0
634019,1,12,1,0
634035,0,5,1,0
634010,0,3,1,0
634062,7,9,1,0
634079,4,3,0,0
633999,0,0,0,1
634001,3,5,1,0
634017,1,2,1,0
634038,2,3,1,0
634049,1,5,1,0
633984,2,1,0,0
634011,2,0,0,0
634032,1,1,0,1
634081,1,1,0,1
633991,1,6,1,0
634000,2,0,0,0
633977,4,6,1,0
634004,0,4,1,0
634009,0,3,1,0
633975,2,2,0,1
633989,5,2,0,0
633998,0,5,1,0
634007,5,4,0,0
634060,1,5,1,0
634002,2,0,0,0
634025,0,1,1,0
633995,0,2,1,0
633980,11,0,0,0
633985,4,1,0,0
633996,1,1,0,1
633973,0,0,0,1
633963,5,3,0,0
633976,2,2,0,1
633981,2,3,1,0
634056,3,0,0,0
633982,1,1,0,1
633992,0,5,1,0
633994,0,0,0,1
633955,4,1,0,0
633941,4,3,0,0
633969,2,0,0,0
633956,3,0,0,0
633965,1,0,0,0
633958,2,1,0,0
633970,2,0,0,0
633990,1,1,0,1
634023,1,1,0,1
633962,2,0,0,0
634048,3,5,1,0
633951,2,7,1,0
633953,2,0,0,0
633972,1,11,1,0
633945,4,2,0,0
633979,6,0,0,0
633928,1,0,0,0
633971,1,0,0,0
634074,0,6,1,0
633940,1,9,1,0
633967,3,0,0,0
633901,2,1,0,0
633890,0,3,1,0
633910,3,5,1,0
633912,1,2,1,0
633986,0,0,0,1
633993,4,3,0,0
634064,0,1,1,0
633927,1,1,0,1
634021,1,1,0,1
633939,0,4,1,0
633922,0,1,1,0
633957,2,1,0,0
633888,4,2,0,0
633937,0,2,1,0
633943,1,0,0,0
633915,0,7,1,0
633974,2,0,0,0
634003,3,0,0,0
633924,1,1,0,1
633914,4,0,0,0
633964,0,0,0,1
633930,1,3,1,0
633934,0,2,1,0
634024,0,1,1,0
634005,0,6,1,0
633916,4,1,0,0
633899,1,0,0,0
633961,1,1,0,1
633966,9,2,0,0
634040,2,5,1,0
633887,0,3,1,0
633918,1,2,1,0
633932,3,1,0,0
633987,7,3,0,0
634006,0,0,0,1
633921,2,2,0,1
633997,2,3,1,0
633894,2,2,0,1
633944,2,4,1,0
633960,4,5,1,0
633875,0,2,1,0
633936,0,3,1,0
633929,4,0,0,0
633874,0,5,1,0
633903,0,2,1,0
633949,1,6,1,0
634042,4,0,0,0
633938,7,2,0,0
633950,2,2,0,1
633959,0,4,1,0
633913,7,2,0,0
633947,1,1,0,1
633933,2,0,0,0
633978,1,3,1,0
633854,0,6,1,0
633892,0,4,1,0
633935,3,1,0,0
634072,2,5,1,0
633872,1,1,0,1
633881,5,3,0,0
633942,1,7,1,0
633931,5,0,0,0
633889,4,2,0,0
633923,5,0,0,0
633946,2,4,1,0
633968,0,4,1,0
633925,0,1,1,0
633898,3,0,0,0
633919,1,1,0,1
633948,0,0,0,1
633983,1,8,1,0
633870,1,5,1,0
633884,4,4,0,1
633897,1,3,1,0
633849,2,4,1,0
633896,0,6,1,0
633917,3,4,1,0
633900,2,5,1,0
