game_date,game_pk,game_type,status,venue,game_datetime_utc,away_team,home_team,away_team_id,home_team_id,away_probable_pitcher,home_probable_pitcher
2024-03-20,745444,R,Final,Gocheok Sky Dome,2024-03-20 10:05:00+00:00,Los Angeles Dodgers,San Diego Padres,119,135,,
2024-03-21,746175,R,Final,Gocheok Sky Dome,2024-03-21 10:05:00+00:00,San Diego Padres,Los Angeles Dodgers,135,119,,
2024-03-28,747060,R,Final,Oriole Park at Camden Yards,2024-03-28 19:05:00+00:00,Los Angeles Angels,Baltimore Orioles,108,110,,
2024-03-28,746737,R,Final,Great American Ball Park,2024-03-28 20:10:00+00:00,Washington Nationals,Cincinnati Reds,120,113,,
2024-03-28,745445,R,Final,Petco Park,2024-03-28 20:10:00+00:00,San Francisco Giants,San Diego Padres,137,135,,
2024-03-28,746165,R,Final,Dodger Stadium,2024-03-28 20:10:00+00:00,St. Louis Cardinals,Los Angeles Dodgers,138,119,,
2024-03-28,745116,R,Final,Tropicana Field,2024-03-28 20:10:00+00:00,Toronto Blue Jays,Tampa Bay Rays,141,139,,
2024-03-28,746335,R,Final,Kauffman Stadium,2024-03-28 20:10:00+00:00,Minnesota Twins,Kansas City Royals,142,118,,
2024-03-28,746821,R,Final,Guaranteed Rate Field,2024-03-28 20:10:00+00:00,Detroit Tigers,Chicago White Sox,116,145,,
2024-03-28,746089,R,Final,loanDepot park,2024-03-28 20:10:00+00:00,Pittsburgh Pirates,Miami Marlins,134,146,,
2024-03-28,746418,R,Final,Minute Maid Park,2024-03-28 20:10:00+00:00,New York Yankees,Houston Astros,147,117,,
2024-03-28,745039,R,Final,Globe Life Field,2024-03-28 23:35:00+00:00,Chicago Cubs,Texas Rangers,112,140,,
2024-03-28,745687,R,Final,Oakland Coliseum,2024-03-29 02:07:00+00:00,Cleveland Guardians,Oakland Athletics,114,133,,
2024-03-28,747224,R,Final,Chase Field,2024-03-29 02:10:00+00:00,Colorado Rockies,Arizona Diamondbacks,115,109,,
2024-03-28,745283,R,Final,T-Mobile Park,2024-03-29 02:10:00+00:00,Boston Red Sox,Seattle Mariners,111,136,,
2024-03-28,745848,R,Postponed,Citi Field,2024-03-28 17:10:00+00:00,Milwaukee Brewers,New York Mets,158,121,,
2024-03-28,745604,R,Postponed,Citizens Bank Park,2024-03-28 19:05:00+00:00,Atlanta Braves,Philadelphia Phillies,144,143,,
2024-03-29,745848,R,Final,Citi Field,2024-03-29 17:40:00+00:00,Milwaukee Brewers,New York Mets,158,121,,
2024-03-29,745604,R,Final,Citizens Bank Park,2024-03-29 19:05:00+00:00,Atlanta Braves,Philadelphia Phillies,144,143,,
2024-03-29,745117,R,Final,Tropicana Field,2024-03-29 22:50:00+00:00,Toronto Blue Jays,Tampa Bay Rays,141,139,,
2024-03-29,746091,R,Final,loanDepot park,2024-03-29 23:10:00+00:00,Pittsburgh Pirates,Miami Marlins,134,146,,
2024-03-29,746412,R,Final,Minute Maid Park,2024-03-30 00:10:00+00:00,New York Yankees,Houston Astros,147,117,,
2024-03-29,747223,R,Final,Chase Field,2024-03-30 01:40:00+00:00,Colorado Rockies,Arizona Diamondbacks,115,109,,
2024-03-29,745682,R,Final,Oakland Coliseum,2024-03-30 01:40:00+00:00,Cleveland Guardians,Oakland Athletics,114,133,,
2024-03-29,745276,R,Final,T-Mobile Park,2024-03-30 01:40:00+00:00,Boston Red Sox,Seattle Mariners,111,136,,
2024-03-29,745435,R,Final,Petco Park,2024-03-30 01:40:00+00:00,San Francisco Giants,San Diego Padres,137,135,,
2024-03-29,746167,R,Final,Dodger Stadium,2024-03-30 02:10:00+00:00,St. Louis Cardinals,Los Angeles Dodgers,138,119,,
2024-03-30,745850,R,Final,Citi Field,2024-03-30 17:40:00+00:00,Milwaukee Brewers,New York Mets,158,121,,
2024-03-30,746818,R,Final,Guaranteed Rate Field,2024-03-30 18:10:00+00:00,Detroit Tigers,Chicago White Sox,116,145,,
2024-03-30,747063,R,Final,Oriole Park at Camden Yards,2024-03-30 20:05:00+00:00,Los Angeles Angels,Baltimore Orioles,108,110,,
2024-03-30,745599,R,Final,Citizens Bank Park,2024-03-30 20:05:00+00:00,Atlanta Braves,Philadelphia Phillies,144,143,,
2024-03-30,745684,R,Final,Oakland Coliseum,2024-03-30 20:07:00+00:00,Cleveland Guardians,Oakland Athletics,114,133,,
2024-03-30,746736,R,Final,Great American Ball Park,2024-03-30 20:10:00+00:00,Washington Nationals,Cincinnati Reds,120,113,,
2024-03-30,745119,R,Final,Tropicana Field,2024-03-30 20:10:00+00:00,Toronto Blue Jays,Tampa Bay Rays,141,139,,
